ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
600568.SH,ST中珠,3.51%,7.62%,-0M,13.86%,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券
600289.SH,ST信通,5.07%,0.28%,6M,36.30%,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券
000973.SZ,佛塑科技,-3.84%,13.19%,-33M,25.75%,日振幅值达到15%的前5只证券
000070.SZ,特发信息,3.88%,32.15%,-69M,17.19%,日换手率达到20%的前5只证券
000632.SZ,三木集团,5.58%,32.72%,-11M,18.77%,日换手率达到20%的前5只证券
300638.SZ,广和通,6.24%,35.60%,-93M,14.96%,日换手率达到30%的前5只证券
300589.SZ,江龙船艇,7.34%,43.86%,6M,9.15%,日换手率达到30%的前5只证券
300437.SZ,清水源,11.48%,44.72%,-38M,19.15%,日换手率达到30%的前5只证券
300605.SZ,恒锋信息,12.12%,38.45%,48M,25.71%,日换手率达到30%的前5只证券
000547.SZ,航天发展,10.03%,22.54%,467M,24.54%,日涨幅偏离值达到7%的前5只证券
000572.SZ,海马汽车,9.96%,15.34%,74M,24.27%,日涨幅偏离值达到7%的前5只证券
000592.SZ,平潭发展,10.03%,16.30%,375M,20.50%,日涨幅偏离值达到7%的前5只证券
300269.SZ,联建光电,20.03%,28.34%,38M,18.61%,日涨幅达到15%的前5只证券
300456.SZ,赛微电子,15.27%,30.23%,234M,22.47%,日涨幅达到15%的前5只证券
300344.SZ,*ST立方,-19.94%,0.23%,-0M,62.66%,日跌幅达到15%的前5只证券
600828.SH,茂业商业,9.93%,7.92%,90M,23.78%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600734.SH,实达集团,6.08%,42.63%,-335M,20.46%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600868.SH,梅雁吉祥,-2.28%,30.98%,-121M,20.94%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600678.SH,四川金顶,4.12%,33.64%,-51M,19.26%,有价格涨跌幅限制的日换手率达到20%的前五只证券
688523.SH,航天环宇,-4.82%,30.29%,-40M,21.30%,有价格涨跌幅限制的日换手率达到30%的前五只证券
600033.SH,福建高速,10.10%,6.00%,72M,35.53%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600340.SH,华夏幸福,10.17%,10.88%,81M,22.13%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600829.SH,人民同泰,10.03%,7.77%,100M,32.70%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688711.SH,宏微科技,15.85%,15.75%,54M,35.48%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688719.SH,爱科赛博,15.06%,17.04%,71M,38.53%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
600026.SH,中远海能,-8.46%,3.32%,-255M,39.78%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
688260.SH,昀冢科技,-20.00%,20.04%,-112M,22.99%,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券
000691.SZ,*ST亚太,4.98%,6.21%,2M,34.99%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000530.SZ,冰山冷热,10.04%,26.68%,71M,25.87%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000859.SZ,国风新材,10.01%,16.41%,142M,17.36%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000078.SZ,海王生物,9.89%,8.78%,16M,19.10%,连续三个交易日内，涨幅偏离值累计达到20%的证券
300300.SZ,海峡创新,13.53%,31.89%,-39M,10.38%,连续三个交易日内，涨幅偏离值累计达到30%的证券
600151.SH,航天机电,5.56%,12.71%,106M,19.72%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
