600568.SH	ST中珠
600289.SH	ST信通
000973.SZ	佛塑科技
000070.SZ	特发信息
000632.SZ	三木集团
300638.SZ	广和通
300589.SZ	江龙船艇
300437.SZ	清水源
300605.SZ	恒锋信息
000547.SZ	航天发展
000572.SZ	海马汽车
000592.SZ	平潭发展
300269.SZ	联建光电
300456.SZ	赛微电子
300344.SZ	*ST立方
600828.SH	茂业商业
600734.SH	实达集团
600868.SH	梅雁吉祥
600678.SH	四川金顶
688523.SH	航天环宇
600033.SH	福建高速
600340.SH	华夏幸福
600829.SH	人民同泰
688711.SH	宏微科技
688719.SH	爱科赛博
600026.SH	中远海能
688260.SH	昀冢科技
000691.SZ	*ST亚太
000530.SZ	冰山冷热
000859.SZ	国风新材
000078.SZ	海王生物
300300.SZ	海峡创新
600151.SH	航天机电
