688623.SH	双元科技
000536.SZ	华映科技
000695.SZ	滨海能源
000632.SZ	三木集团
300589.SZ	江龙船艇
300437.SZ	清水源
300086.SZ	康芝药业
000892.SZ	欢瑞世纪
000039.SZ	中集集团
000070.SZ	特发信息
000798.SZ	中水渔业
000663.SZ	永安林业
000547.SZ	航天发展
000505.SZ	京粮控股
600105.SH	永鼎股份
600756.SH	浪潮软件
600343.SH	航天动力
688523.SH	航天环宇
688759.SH	必贝特
600868.SH	梅雁吉祥
600955.SH	维远股份
600252.SH	中恒集团
600227.SH	赤天化
688699.SH	明微电子
688048.SH	长光华芯
688110.SH	东芯股份
688227.SH	品高股份
688670.SH	金迪克
600685.SH	中船防务
600877.SH	电科芯片
000952.SZ	广济药业
000788.SZ	北大医药
600828.SH	茂业商业
