ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
688623.SH,双元科技,0.08%,1.38%,10M,52.51%,单只标的证券的当日融资买入数量达到当日该证券总交易量的50%以上
000536.SZ,华映科技,3.07%,16.70%,41M,17.80%,日振幅值达到15%的前5只证券
000695.SZ,滨海能源,0.65%,22.82%,-82M,38.57%,日振幅值达到15%的前5只证券
000632.SZ,三木集团,5.81%,35.49%,23M,18.71%,日换手率达到20%的前5只证券
300589.SZ,江龙船艇,-12.43%,41.14%,-18M,10.64%,日换手率达到30%的前5只证券
300437.SZ,清水源,1.77%,40.21%,-57M,21.66%,日换手率达到30%的前5只证券
300086.SZ,康芝药业,5.62%,37.56%,47M,16.33%,日换手率达到30%的前5只证券
000892.SZ,欢瑞世纪,10.05%,37.38%,-2M,20.02%,日涨幅偏离值达到7%的前5只证券
000039.SZ,中集集团,10.00%,8.46%,228M,25.98%,日涨幅偏离值达到7%的前5只证券
000070.SZ,特发信息,10.04%,25.84%,19M,18.59%,日涨幅偏离值达到7%的前5只证券
000798.SZ,中水渔业,-9.97%,9.89%,-70M,31.58%,日跌幅偏离值达到7%的前5只证券
000663.SZ,永安林业,-10.01%,21.52%,-52M,19.77%,日跌幅偏离值达到7%的前5只证券
000547.SZ,航天发展,-10.00%,31.20%,-498M,22.25%,日跌幅偏离值达到7%的前5只证券
000505.SZ,京粮控股,-9.98%,14.47%,-21M,13.81%,日跌幅偏离值达到7%的前5只证券
600105.SH,永鼎股份,9.99%,27.71%,260M,23.06%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600756.SH,浪潮软件,-0.73%,33.00%,152M,19.27%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600343.SH,航天动力,0.05%,27.50%,59M,15.07%,有价格涨跌幅限制的日换手率达到20%的前五只证券
688523.SH,航天环宇,-3.13%,31.51%,-40M,28.73%,有价格涨跌幅限制的日换手率达到30%的前五只证券
688759.SH,必贝特,9.07%,31.05%,33M,23.72%,有价格涨跌幅限制的日换手率达到30%的前五只证券
600868.SH,梅雁吉祥,10.10%,2.23%,43M,44.40%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600955.SH,维远股份,10.04%,2.51%,26M,44.71%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600252.SH,中恒集团,10.07%,4.06%,47M,30.10%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600227.SH,赤天化,10.16%,7.49%,6M,38.72%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688699.SH,明微电子,20.01%,6.94%,31M,39.59%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688048.SH,长光华芯,20.00%,17.64%,129M,31.36%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688110.SH,东芯股份,20.00%,11.72%,373M,19.58%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688227.SH,品高股份,18.99%,17.84%,21M,20.11%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688670.SH,金迪克,20.00%,15.62%,18M,24.62%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
600685.SH,中船防务,-9.34%,10.13%,-62M,15.88%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600877.SH,电科芯片,-8.46%,6.50%,-119M,25.65%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
000952.SZ,广济药业,9.99%,12.08%,-82M,38.02%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000788.SZ,北大医药,9.94%,15.22%,70M,29.24%,连续三个交易日内，涨幅偏离值累计达到20%的证券
600828.SH,茂业商业,9.96%,2.71%,58M,34.86%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
