000070.SZ	特发信息
300437.SZ	清水源
000078.SZ	海王生物
300545.SZ	联得装备
300509.SZ	新美星
300490.SZ	华自科技
000798.SZ	中水渔业
000859.SZ	国风新材
600337.SH	美克家居
600756.SH	浪潮软件
600343.SH	航天动力
600693.SH	东百集团
688727.SH	恒坤新材
600654.SH	中安科
600828.SH	茂业商业
688560.SH	明冠新材
688353.SH	华盛锂电
688260.SH	昀冢科技
688033.SH	天宜新材
688733.SH	壹石通
600835.SH	上海机电
600734.SH	实达集团
600227.SH	赤天化
688110.SH	东芯股份
000691.SZ	*ST亚太
000510.SZ	新金路
300456.SZ	赛微电子
600246.SH	万通发展
