ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
000070.SZ,特发信息,3.74%,40.74%,12M,15.21%,日振幅值达到15%的前5只证券
300437.SZ,清水源,4.74%,41.08%,-14M,17.84%,日换手率达到30%的前5只证券
000078.SZ,海王生物,9.96%,15.66%,-92M,25.48%,日涨幅偏离值达到7%的前5只证券
300545.SZ,联得装备,20.01%,19.65%,180M,36.38%,日涨幅达到15%的前5只证券
300509.SZ,新美星,20.04%,11.78%,14M,29.35%,日涨幅达到15%的前5只证券
300490.SZ,华自科技,20.00%,16.70%,82M,35.14%,日涨幅达到15%的前5只证券
000798.SZ,中水渔业,-9.96%,23.01%,-58M,18.94%,日跌幅偏离值达到7%的前5只证券
000859.SZ,国风新材,-9.99%,22.38%,-106M,20.30%,日跌幅偏离值达到7%的前5只证券
600337.SH,美克家居,-6.04%,18.00%,-59M,23.07%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600756.SH,浪潮软件,4.91%,30.78%,54M,21.44%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600343.SH,航天动力,2.57%,25.84%,113M,20.78%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600693.SH,东百集团,1.14%,24.70%,-38M,17.97%,有价格涨跌幅限制的日换手率达到20%的前五只证券
688727.SH,恒坤新材,7.92%,47.15%,59M,22.86%,有价格涨跌幅限制的日换手率达到30%的前五只证券
600654.SH,中安科,10.05%,5.80%,72M,32.71%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600828.SH,茂业商业,10.04%,0.42%,28M,104.27%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688560.SH,明冠新材,20.03%,10.50%,44M,47.35%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688353.SH,华盛锂电,15.54%,20.09%,1M,9.88%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688260.SH,昀冢科技,19.99%,7.92%,-6M,44.89%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688033.SH,天宜新材,20.04%,12.35%,78M,41.31%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688733.SH,壹石通,20.00%,10.34%,59M,23.19%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
600835.SH,上海机电,-7.30%,7.86%,-206M,26.31%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600734.SH,实达集团,-9.92%,16.13%,-63M,30.50%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600227.SH,赤天化,-7.01%,9.26%,-11M,36.23%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
688110.SH,东芯股份,12.81%,14.50%,283M,18.06%,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
000691.SZ,*ST亚太,4.99%,0.31%,1M,32.30%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000510.SZ,新金路,9.97%,15.93%,10M,35.10%,连续三个交易日内，涨幅偏离值累计达到20%的证券
300456.SZ,赛微电子,15.18%,37.28%,842M,23.89%,连续三个交易日内，涨幅偏离值累计达到30%的证券
600246.SH,万通发展,10.02%,6.55%,284M,31.33%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
