ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
000586.SZ,汇源通信,-9.99%,13.04%,-6M,34.36%,日振幅值达到15%的前5只证券
000663.SZ,永安林业,10.00%,16.86%,74M,34.83%,日振幅值达到15%的前5只证券
300560.SZ,中富通,5.00%,45.77%,-13M,15.84%,日换手率达到30%的前5只证券
300612.SZ,宣亚国际,0.14%,45.31%,-5M,25.86%,日换手率达到30%的前5只证券
300589.SZ,江龙船艇,20.02%,48.67%,61M,23.43%,日换手率达到30%的前5只证券
300250.SZ,初灵信息,0.95%,43.06%,8M,20.70%,日换手率达到30%的前5只证券
000973.SZ,佛塑科技,9.99%,21.78%,105M,32.01%,日涨幅偏离值达到7%的前5只证券
000547.SZ,航天发展,10.01%,11.65%,-146M,26.88%,日涨幅偏离值达到7%的前5只证券
300094.SZ,国联水产,20.09%,37.53%,-125M,29.86%,日涨幅达到15%的前5只证券
300123.SZ,亚光科技,19.93%,24.95%,229M,20.17%,日涨幅达到15%的前5只证券
000797.SZ,中国武夷,-10.00%,14.98%,-23M,38.00%,日跌幅偏离值达到7%的前5只证券
000572.SZ,海马汽车,-10.00%,19.58%,-176M,21.67%,日跌幅偏离值达到7%的前5只证券
000566.SZ,海南海药,-10.00%,18.81%,-74M,23.99%,日跌幅偏离值达到7%的前5只证券
600340.SH,华夏幸福,3.93%,28.87%,48M,16.11%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600410.SH,华胜天成,1.45%,45.80%,25M,12.31%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600257.SH,大湖股份,10.08%,19.13%,-19M,29.65%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600829.SH,人民同泰,-9.99%,11.23%,-12M,18.67%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600376.SH,首开股份,-10.04%,18.67%,-264M,21.63%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600403.SH,大有能源,-10.04%,5.10%,12M,19.85%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600506.SH,统一股份,-10.01%,23.63%,-30M,14.47%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
688622.SH,禾信仪器,-20.00%,5.46%,-29M,57.52%,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券
688195.SH,腾景科技,8.88%,12.00%,197M,23.96%,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
688365.SH,光云科技,4.68%,15.62%,37M,24.05%,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
000798.SZ,中水渔业,9.96%,2.31%,-9M,29.52%,连续三个交易日内，涨幅偏离值累计达到20%的证券
300071.SZ,福石控股,4.82%,39.34%,-1M,18.86%,连续三个交易日内，涨幅偏离值累计达到30%的证券
300078.SZ,思创医惠,7.78%,30.51%,22M,21.52%,连续三个交易日内，涨幅偏离值累计达到30%的证券
600319.SH,亚星化学,10.01%,0.12%,12M,130.52%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600280.SH,中央商场,9.95%,5.67%,58M,26.17%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
