000952.SZ	广济药业
000070.SZ	特发信息
000510.SZ	新金路
300437.SZ	清水源
300123.SZ	亚光科技
000063.SZ	中兴通讯
000547.SZ	航天发展
300223.SZ	北京君正
300638.SZ	广和通
300903.SZ	科翔股份
000567.SZ	海德股份
000695.SZ	滨海能源
600734.SH	实达集团
600678.SH	四川金顶
600343.SH	航天动力
600203.SH	福日电子
688523.SH	航天环宇
688727.SH	恒坤新材
600868.SH	梅雁吉祥
600981.SH	苏豪汇鸿
688260.SH	昀冢科技
688719.SH	爱科赛博
000004.SZ	*ST国华
300102.SZ	乾照光电
000609.SZ	ST中迪
000892.SZ	欢瑞世纪
