600107.SH	ST尔雅
300062.SZ	中能电气
300785.SZ	值得买
300497.SZ	富祥药业
000547.SZ	航天发展
000592.SZ	平潭发展
000833.SZ	粤桂股份
300483.SZ	首华燃气
300086.SZ	康芝药业
300584.SZ	海辰药业
000533.SZ	顺钠股份
600506.SH	统一股份
688602.SH	康鹏科技
600617.SH	国新能源
600792.SH	云煤能源
600327.SH	大东方
600340.SH	华夏幸福
688353.SH	华盛锂电
688670.SH	金迪克
600429.SH	三元股份
600094.SH	大名城
000972.SZ	*ST中基
000633.SZ	合金投资
000632.SZ	三木集团
000407.SZ	胜利股份
600408.SH	安泰集团
