ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
600107.SH,ST尔雅,4.96%,4.31%,-17M,35.06%,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券
300062.SZ,中能电气,6.32%,51.59%,-7M,15.72%,日换手率达到30%的前5只证券
300785.SZ,值得买,-4.06%,36.99%,-114M,22.38%,日换手率达到30%的前5只证券
300497.SZ,富祥药业,7.77%,42.68%,-266M,19.06%,日换手率达到30%的前5只证券
000547.SZ,航天发展,10.06%,17.05%,279M,22.86%,日涨幅偏离值达到7%的前5只证券
000592.SZ,平潭发展,10.01%,16.60%,-101M,12.21%,日涨幅偏离值达到7%的前5只证券
000833.SZ,粤桂股份,9.99%,26.12%,-7M,26.64%,日涨幅偏离值达到7%的前5只证券
300483.SZ,首华燃气,20.00%,22.92%,-20M,42.96%,日涨幅达到15%的前5只证券
300086.SZ,康芝药业,20.00%,28.34%,142M,23.63%,日涨幅达到15%的前5只证券
300584.SZ,海辰药业,19.99%,26.19%,66M,29.24%,日涨幅达到15%的前5只证券
000533.SZ,顺钠股份,-10.03%,24.36%,-163M,23.36%,日跌幅偏离值达到7%的前5只证券
600506.SH,统一股份,8.49%,33.79%,90M,18.27%,有价格涨跌幅限制的日换手率达到20%的前五只证券
688602.SH,康鹏科技,1.31%,39.46%,21M,26.41%,有价格涨跌幅限制的日换手率达到30%的前五只证券
600617.SH,国新能源,10.11%,6.91%,53M,25.80%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600792.SH,云煤能源,10.06%,6.24%,56M,37.95%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600327.SH,大东方,10.06%,17.80%,59M,19.01%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600340.SH,华夏幸福,10.04%,1.52%,55M,52.19%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688353.SH,华盛锂电,16.00%,18.67%,-249M,26.62%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688670.SH,金迪克,19.99%,8.56%,10M,22.41%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
600429.SH,三元股份,-10.03%,11.20%,-13M,15.03%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600094.SH,大名城,-9.55%,6.61%,17M,39.66%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
000972.SZ,*ST中基,2.41%,6.19%,-11M,18.31%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000633.SZ,合金投资,10.03%,18.76%,42M,26.72%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000632.SZ,三木集团,9.96%,32.85%,-7M,23.57%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000407.SZ,胜利股份,9.92%,1.23%,46M,83.57%,连续三个交易日内，涨幅偏离值累计达到20%的证券
600408.SH,安泰集团,10.02%,21.12%,-29M,22.64%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
