ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
600568.SH,ST中珠,4.90%,0.32%,-8M,15.02%,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券
000505.SZ,京粮控股,1.23%,22.38%,-78M,19.52%,日振幅值达到15%的前5只证券
000859.SZ,国风新材,-4.61%,38.28%,-30M,19.70%,日振幅值达到15%的前5只证券
300379.SZ,*ST东通,7.86%,35.66%,1M,12.36%,日振幅值达到30%的前5只证券
000547.SZ,航天发展,3.37%,38.73%,154M,18.57%,日换手率达到20%的前5只证券
300612.SZ,宣亚国际,1.34%,41.56%,18M,17.65%,日换手率达到30%的前5只证券
300589.SZ,江龙船艇,-9.96%,48.45%,-78M,11.45%,日换手率达到30%的前5只证券
300785.SZ,值得买,8.94%,43.77%,63M,22.10%,日换手率达到30%的前5只证券
000566.SZ,海南海药,9.95%,18.27%,151M,25.69%,日涨幅偏离值达到7%的前5只证券
300437.SZ,清水源,20.00%,30.79%,116M,24.82%,日涨幅达到15%的前5只证券
300620.SZ,光库科技,20.00%,19.11%,459M,19.59%,日涨幅达到15%的前5只证券
300192.SZ,科德教育,19.99%,13.18%,95M,26.83%,日涨幅达到15%的前5只证券
000798.SZ,中水渔业,-10.00%,21.00%,-105M,23.87%,日跌幅偏离值达到7%的前5只证券
600340.SH,华夏幸福,-1.57%,16.30%,26M,19.22%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600756.SH,浪潮软件,3.45%,32.74%,36M,20.40%,有价格涨跌幅限制的日换手率达到20%的前五只证券
688523.SH,航天环宇,15.82%,40.24%,73M,25.46%,有价格涨跌幅限制的日换手率达到30%的前五只证券
688727.SH,恒坤新材,-1.11%,34.92%,-18M,14.91%,有价格涨跌幅限制的日换手率达到30%的前五只证券
600635.SH,大众公用,10.06%,7.00%,68M,25.22%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600734.SH,实达集团,10.04%,12.87%,4M,17.84%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688670.SH,金迪克,19.99%,7.49%,26M,26.98%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688048.SH,长光华芯,20.00%,13.52%,177M,27.04%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688205.SH,德科立,20.00%,13.35%,-156M,26.78%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688227.SH,品高股份,19.99%,8.69%,68M,43.33%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688622.SH,禾信仪器,20.00%,5.68%,68M,62.24%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
000632.SZ,三木集团,-3.15%,34.48%,-112M,21.10%,连续三个交易日内，跌幅偏离值累计达到20%的证券
