ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
000510.SZ,新金路,5.65%,39.07%,106M,27.21%,日换手率达到20%的前5只证券
300437.SZ,清水源,2.06%,38.16%,2M,18.59%,日换手率达到30%的前5只证券
300589.SZ,江龙船艇,1.99%,38.49%,-33M,11.31%,日换手率达到30%的前5只证券
000078.SZ,海王生物,10.03%,15.64%,73M,21.18%,日涨幅偏离值达到7%的前5只证券
000547.SZ,航天发展,10.02%,25.76%,392M,23.08%,日涨幅偏离值达到7%的前5只证券
000592.SZ,平潭发展,10.05%,30.96%,56M,9.97%,日涨幅偏离值达到7%的前5只证券
300102.SZ,乾照光电,20.01%,15.60%,74M,24.11%,日涨幅达到15%的前5只证券
300300.SZ,海峡创新,16.47%,33.80%,10M,9.99%,日涨幅达到15%的前5只证券
000859.SZ,国风新材,-9.92%,22.66%,-58M,17.07%,日跌幅偏离值达到7%的前5只证券
000952.SZ,广济药业,-9.98%,33.54%,-3M,24.38%,日跌幅偏离值达到7%的前5只证券
600337.SH,美克家居,10.04%,15.01%,87M,32.05%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600756.SH,浪潮软件,-0.16%,24.48%,-63M,18.69%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600343.SH,航天动力,6.49%,26.62%,-58M,20.51%,有价格涨跌幅限制的日换手率达到20%的前五只证券
688523.SH,航天环宇,20.00%,36.68%,9M,27.65%,有价格涨跌幅限制的日换手率达到30%的前五只证券
600151.SH,航天机电,10.06%,5.40%,67M,31.46%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600868.SH,梅雁吉祥,10.15%,22.29%,100M,22.91%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600939.SH,重庆建工,10.09%,3.75%,37M,36.48%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600319.SH,亚星化学,10.05%,8.98%,-5M,32.13%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688244.SH,永信至诚,20.00%,10.15%,24M,23.32%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688275.SH,万润新能,16.88%,18.90%,-19M,41.48%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688282.SH,理工导航,15.82%,3.21%,39M,50.91%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688367.SH,工大高科,15.34%,12.11%,7M,38.85%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
600246.SH,万通发展,-7.38%,18.69%,-131M,28.21%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600734.SH,实达集团,-8.30%,39.26%,47M,18.15%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
688260.SH,昀冢科技,11.79%,17.55%,-4M,29.41%,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
600828.SH,茂业商业,10.02%,4.81%,-59M,31.11%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
