000510.SZ	新金路
300437.SZ	清水源
300589.SZ	江龙船艇
000078.SZ	海王生物
000547.SZ	航天发展
000592.SZ	平潭发展
300102.SZ	乾照光电
300300.SZ	海峡创新
000859.SZ	国风新材
000952.SZ	广济药业
600337.SH	美克家居
600756.SH	浪潮软件
600343.SH	航天动力
688523.SH	航天环宇
600151.SH	航天机电
600868.SH	梅雁吉祥
600939.SH	重庆建工
600319.SH	亚星化学
688244.SH	永信至诚
688275.SH	万润新能
688282.SH	理工导航
688367.SH	工大高科
600246.SH	万通发展
600734.SH	实达集团
688260.SH	昀冢科技
600828.SH	茂业商业
