ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
688633.SH,星球石墨,-0.99%,1.49%,25M,48.37%,单只标的证券的当日融资买入数量达到当日该证券总交易量的50%以上
000833.SZ,粤桂股份,-3.10%,31.50%,-13M,23.66%,日振幅值达到15%的前5只证券
000695.SZ,滨海能源,9.99%,19.70%,76M,31.31%,日振幅值达到15%的前5只证券
000632.SZ,三木集团,10.06%,45.14%,-51M,19.02%,日换手率达到20%的前5只证券
300437.SZ,清水源,14.09%,40.77%,10M,15.50%,日换手率达到30%的前5只证券
300405.SZ,科隆股份,16.92%,40.63%,54M,25.73%,日换手率达到30%的前5只证券
300497.SZ,富祥药业,12.14%,42.80%,-41M,17.46%,日换手率达到30%的前5只证券
300300.SZ,海峡创新,20.00%,27.21%,-11M,8.38%,日涨幅达到15%的前5只证券
300390.SZ,天华新能,20.00%,13.40%,64M,22.63%,日涨幅达到15%的前5只证券
300560.SZ,中富通,20.02%,26.92%,13M,35.67%,日涨幅达到15%的前5只证券
300589.SZ,江龙船艇,20.01%,45.88%,65M,27.96%,日涨幅达到15%的前5只证券
300844.SZ,山水比德,-18.81%,6.90%,0M,31.46%,日跌幅达到15%的前5只证券
600506.SH,统一股份,10.00%,26.42%,-76M,26.50%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600156.SH,华升股份,10.03%,4.00%,37M,51.49%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600815.SH,厦工股份,10.10%,9.23%,47M,16.55%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600410.SH,华胜天成,10.03%,12.68%,433M,23.40%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600408.SH,安泰集团,10.06%,41.06%,-39M,15.89%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600327.SH,大东方,10.04%,8.42%,-10M,33.10%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688195.SH,腾景科技,20.00%,12.43%,250M,27.00%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688005.SH,容百科技,20.00%,11.37%,196M,25.43%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688229.SH,博睿数据,20.00%,9.84%,57M,37.38%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
600576.SH,祥源文旅,-10.04%,16.38%,-61M,25.05%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
000797.SZ,中国武夷,9.93%,3.90%,5M,21.20%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000688.SZ,国城矿业,9.99%,4.09%,95M,28.16%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000547.SZ,航天发展,9.99%,1.35%,280M,21.75%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000566.SZ,海南海药,10.04%,22.03%,85M,17.53%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000973.SZ,佛塑科技,10.00%,18.68%,145M,26.24%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000620.SZ,盈新发展,10.06%,11.60%,88M,21.44%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000798.SZ,中水渔业,10.03%,3.13%,30M,36.94%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000036.SZ,华联控股,10.00%,14.60%,97M,24.67%,连续三个交易日内，涨幅偏离值累计达到20%的证券
300477.SZ,ST合纵,17.75%,22.67%,-5M,17.69%,连续三个交易日内，涨幅偏离值累计达到30%的证券
600792.SH,云煤能源,6.53%,14.21%,12M,24.32%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600829.SH,人民同泰,9.98%,13.24%,-68M,20.48%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600403.SH,大有能源,9.96%,5.76%,83M,17.62%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
