600568.SH	ST中珠
000619.SZ	海螺新材
300437.SZ	清水源
300937.SZ	药易购
300300.SZ	海峡创新
300062.SZ	中能电气
000592.SZ	平潭发展
300497.SZ	富祥药业
300785.SZ	值得买
300801.SZ	泰和科技
300827.SZ	上能电气
000700.SZ	模塑科技
000593.SZ	德龙汇能
600550.SH	保变电气
600537.SH	亿晶光电
600506.SH	统一股份
600596.SH	新安股份
600152.SH	维科技术
600408.SH	安泰集团
600340.SH	华夏幸福
688411.SH	海博思创
688275.SH	万润新能
688353.SH	华盛锂电
688602.SH	康鹏科技
000908.SZ	*ST景峰
300318.SZ	博晖创新
600693.SH	东百集团
600829.SH	人民同泰
600429.SH	三元股份
