ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
600568.SH,ST中珠,4.81%,4.04%,-4M,18.61%,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券
000619.SZ,海螺新材,-1.91%,31.21%,-9M,12.95%,日振幅值达到15%的前5只证券
300437.SZ,清水源,7.30%,40.46%,26M,13.92%,日换手率达到30%的前5只证券
300937.SZ,药易购,3.13%,39.66%,-109M,21.51%,日换手率达到30%的前5只证券
300300.SZ,海峡创新,10.92%,37.47%,22M,9.32%,日换手率达到30%的前5只证券
300062.SZ,中能电气,1.68%,46.19%,52M,18.18%,日换手率达到30%的前5只证券
000592.SZ,平潭发展,10.01%,32.64%,-9M,11.72%,日涨幅偏离值达到7%的前5只证券
300497.SZ,富祥药业,20.03%,11.94%,202M,50.27%,日涨幅达到15%的前5只证券
300785.SZ,值得买,20.00%,21.80%,82M,30.47%,日涨幅达到15%的前5只证券
300801.SZ,泰和科技,19.99%,26.87%,103M,25.43%,日涨幅达到15%的前5只证券
300827.SZ,上能电气,20.00%,24.18%,354M,36.68%,日涨幅达到15%的前5只证券
000700.SZ,模塑科技,-5.47%,8.73%,2M,15.77%,日跌幅偏离值达到7%的前5只证券
000593.SZ,德龙汇能,-8.22%,23.99%,7M,25.67%,日跌幅偏离值达到7%的前5只证券
600550.SH,保变电气,3.08%,16.33%,-67M,18.88%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600537.SH,亿晶光电,1.91%,27.44%,-44M,18.62%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600506.SH,统一股份,-0.10%,28.24%,-19M,14.38%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600596.SH,新安股份,10.04%,5.98%,13M,36.27%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600152.SH,维科技术,10.06%,5.08%,32M,44.75%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600408.SH,安泰集团,10.06%,13.55%,60M,37.48%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600340.SH,华夏幸福,10.18%,8.42%,79M,22.82%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688411.SH,海博思创,20.00%,22.07%,40M,43.78%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688275.SH,万润新能,17.82%,18.43%,140M,51.33%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688353.SH,华盛锂电,20.00%,10.24%,-56M,30.32%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688602.SH,康鹏科技,20.02%,20.48%,24M,37.78%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
000908.SZ,*ST景峰,4.99%,8.17%,15M,17.42%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
300318.SZ,博晖创新,13.47%,17.65%,-92M,18.42%,连续三个交易日内，涨幅偏离值累计达到30%的证券
600693.SH,东百集团,10.01%,24.33%,-70M,17.59%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600829.SH,人民同泰,10.00%,1.20%,-2M,78.52%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600429.SH,三元股份,9.97%,8.03%,-5M,21.05%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
