ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
000985.SZ,大庆华科,-1.96%,16.11%,-30M,26.04%,日振幅值达到15%的前5只证券
300437.SZ,清水源,-9.89%,36.20%,-78M,20.04%,日换手率达到30%的前5只证券
300062.SZ,中能电气,1.99%,43.83%,-45M,19.52%,日换手率达到30%的前5只证券
000833.SZ,粤桂股份,10.02%,22.16%,96M,36.86%,日涨幅偏离值达到7%的前5只证券
300937.SZ,药易购,19.99%,17.65%,56M,49.48%,日涨幅达到15%的前5只证券
300903.SZ,科翔股份,19.98%,29.96%,97M,27.27%,日涨幅达到15%的前5只证券
300455.SZ,航天智装,16.57%,12.11%,184M,27.94%,日涨幅达到15%的前5只证券
300318.SZ,博晖创新,20.00%,8.16%,22M,29.79%,日涨幅达到15%的前5只证券
300272.SZ,开能健康,19.94%,26.68%,24M,34.05%,日涨幅达到15%的前5只证券
000572.SZ,海马汽车,-8.24%,27.08%,-12M,23.60%,日跌幅偏离值达到7%的前5只证券
600678.SH,四川金顶,-6.58%,34.77%,1M,13.90%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600537.SH,亿晶光电,-7.81%,33.93%,-222M,29.39%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600408.SH,安泰集团,10.00%,31.41%,88M,20.75%,有价格涨跌幅限制的日换手率达到20%的前五只证券
688448.SH,磁谷科技,5.39%,30.12%,-45M,25.65%,有价格涨跌幅限制的日换手率达到30%的前五只证券
600871.SH,石化油服,10.21%,2.85%,20M,27.60%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600693.SH,东百集团,10.05%,8.12%,-80M,37.04%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600376.SH,首开股份,10.05%,8.58%,122M,29.64%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600556.SH,天下秀,10.06%,14.01%,90M,24.54%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600078.SH,澄星股份,-10.00%,12.18%,-94M,24.18%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600095.SH,湘财股份,-8.12%,4.63%,-38M,13.99%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
688109.SH,品茗科技,-0.10%,4.07%,-0M,200.00%,有价格涨跌幅限制的连续30个交易日内收盘价格涨幅偏离值累计达到200%的证券
000615.SZ,*ST美谷,5.09%,1.80%,-10M,28.15%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000609.SZ,ST中迪,5.00%,0.05%,3M,122.06%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000407.SZ,胜利股份,10.10%,0.53%,20M,93.57%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000061.SZ,农产品,10.05%,6.29%,27M,22.68%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000619.SZ,海螺新材,10.07%,14.70%,-62M,30.81%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000631.SZ,顺发恒能,10.03%,6.61%,-43M,28.96%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000632.SZ,三木集团,10.05%,1.19%,3M,81.06%,连续三个交易日内，涨幅偏离值累计达到20%的证券
300082.SZ,奥克股份,8.92%,22.33%,47M,15.62%,连续三个交易日内，涨幅偏离值累计达到30%的证券
000638.SZ,*ST万方,-5.07%,0.46%,-16M,21.63%,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
600681.SH,百川能源,10.04%,9.12%,30M,29.44%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600737.SH,中粮糖业,9.99%,4.02%,94M,26.14%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
