ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
000620.SZ,盈新发展,-9.66%,20.79%,-120M,25.67%,日振幅值达到15%的前5只证券
000663.SZ,永安林业,-10.00%,21.71%,-15M,23.33%,日振幅值达到15%的前5只证券
000407.SZ,胜利股份,10.02%,32.52%,111M,20.74%,日换手率达到20%的前5只证券
300785.SZ,值得买,14.40%,51.26%,144M,24.12%,日换手率达到30%的前5只证券
300560.SZ,中富通,-3.19%,53.96%,-157M,17.93%,日换手率达到30%的前5只证券
300427.SZ,红相股份,5.98%,44.63%,-101M,17.60%,日换手率达到30%的前5只证券
300589.SZ,江龙船艇,-2.02%,46.42%,-52M,24.98%,日换手率达到30%的前5只证券
000681.SZ,视觉中国,10.00%,16.97%,108M,28.70%,日涨幅偏离值达到7%的前5只证券
000547.SZ,航天发展,10.05%,25.76%,246M,22.77%,日涨幅偏离值达到7%的前5只证券
300071.SZ,福石控股,20.07%,29.52%,149M,27.64%,日涨幅达到15%的前5只证券
300078.SZ,思创医惠,20.00%,18.39%,180M,31.72%,日涨幅达到15%的前5只证券
300612.SZ,宣亚国际,20.01%,44.73%,32M,25.37%,日涨幅达到15%的前5只证券
300432.SZ,富临精工,-15.58%,10.81%,-145M,22.81%,日跌幅达到15%的前5只证券
300730.SZ,科创信息,-19.99%,6.99%,10M,26.33%,日跌幅达到15%的前5只证券
600829.SH,人民同泰,6.49%,19.81%,24M,13.13%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600815.SH,厦工股份,-4.59%,21.20%,-36M,13.49%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600506.SH,统一股份,-5.43%,42.41%,-15M,14.02%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600403.SH,大有能源,-7.98%,8.38%,-74M,18.93%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600408.SH,安泰集团,-9.58%,29.24%,-57M,19.00%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600340.SH,华夏幸福,9.97%,28.89%,75M,14.25%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600756.SH,浪潮软件,10.01%,2.59%,30M,43.20%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600280.SH,中央商场,10.11%,9.48%,4M,26.96%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688486.SH,龙迅股份,20.00%,19.74%,28M,32.14%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688365.SH,光云科技,19.99%,9.16%,66M,32.42%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
600693.SH,东百集团,-10.00%,8.97%,16M,12.00%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
688353.SH,华盛锂电,-17.44%,17.04%,-192M,20.63%,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券
000608.SZ,*ST阳光,5.00%,0.33%,-15M,43.49%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000820.SZ,*ST节能,4.89%,2.85%,2M,28.83%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000668.SZ,*ST荣控,5.00%,3.71%,1M,43.73%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000955.SZ,欣龙控股,10.07%,23.30%,104M,16.60%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000546.SZ,金圆股份,10.03%,7.99%,83M,34.67%,连续三个交易日内，涨幅偏离值累计达到20%的证券
300250.SZ,初灵信息,10.64%,38.65%,131M,15.82%,连续三个交易日内，涨幅偏离值累计达到30%的证券
300086.SZ,康芝药业,6.30%,33.27%,20M,19.58%,连续三个交易日内，涨幅偏离值累计达到30%的证券
600376.SH,首开股份,9.98%,10.90%,265M,23.11%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600410.SH,华胜天成,9.99%,19.76%,487M,18.63%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
