ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
000798.SZ,中水渔业,10.01%,14.41%,0M,200.00%,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券
000566.SZ,海南海药,-8.83%,30.15%,23M,22.74%,日振幅值达到15%的前5只证券
000681.SZ,视觉中国,0.87%,32.12%,-304M,18.31%,日换手率达到20%的前5只证券
300785.SZ,值得买,9.05%,42.72%,54M,18.84%,日换手率达到30%的前5只证券
300612.SZ,宣亚国际,3.01%,39.15%,-70M,19.35%,日换手率达到30%的前5只证券
000547.SZ,航天发展,10.00%,33.61%,65M,15.19%,日涨幅偏离值达到7%的前5只证券
000859.SZ,国风新材,10.02%,22.55%,50M,27.08%,日涨幅偏离值达到7%的前5只证券
300589.SZ,江龙船艇,19.98%,55.21%,-67M,24.38%,日涨幅达到15%的前5只证券
300814.SZ,中富电路,17.75%,16.76%,-56M,25.51%,日涨幅达到15%的前5只证券
300058.SZ,蓝色光标,15.72%,37.21%,898M,19.64%,日涨幅达到15%的前5只证券
300516.SZ,久之洋,20.00%,15.69%,-62M,23.56%,日涨幅达到15%的前5只证券
000572.SZ,海马汽车,-9.95%,20.07%,114M,23.01%,日跌幅偏离值达到7%的前5只证券
000592.SZ,平潭发展,-10.03%,25.92%,-61M,12.71%,日跌幅偏离值达到7%的前5只证券
300477.SZ,ST合纵,-16.84%,19.92%,-13M,18.58%,日跌幅达到15%的前5只证券
300344.SZ,ST立方,-16.67%,10.74%,-14M,18.07%,日跌幅达到15%的前5只证券
300437.SZ,清水源,-18.42%,29.62%,-26M,13.50%,日跌幅达到15%的前5只证券
600996.SH,贵广网络,-3.37%,9.31%,-62M,24.76%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600097.SH,开创国际,10.01%,9.96%,34M,22.62%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600410.SH,华胜天成,-5.92%,23.88%,178M,17.39%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600756.SH,浪潮软件,-5.95%,38.38%,118M,18.46%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600645.SH,中源协和,10.02%,3.61%,59M,37.15%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600855.SH,航天长峰,10.03%,10.04%,79M,24.75%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600764.SH,中国海防,10.02%,5.51%,45M,13.41%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
688227.SH,品高股份,19.99%,1.33%,41M,112.93%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688291.SH,金橙子,20.01%,8.70%,28M,27.29%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688365.SH,光云科技,20.00%,15.54%,36M,20.58%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688667.SH,菱电电控,18.61%,1.41%,-7M,86.80%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
688523.SH,航天环宇,19.99%,17.71%,61M,31.56%,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
000638.SZ,*ST万方,5.07%,6.23%,-4M,28.99%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000892.SZ,欢瑞世纪,9.97%,29.29%,102M,29.55%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000505.SZ,京粮控股,10.00%,5.89%,66M,21.33%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000070.SZ,特发信息,10.05%,18.05%,134M,21.48%,连续三个交易日内，涨幅偏离值累计达到20%的证券
600343.SH,航天动力,10.00%,3.25%,112M,19.81%,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600340.SH,华夏幸福,-9.93%,4.42%,-50M,19.33%,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
